gene	cluster
Clic4	0
4932438H23Rik	10
Grrp1	3
Lag3	5
Cks1b	8
Satb1	5
Cd81	0
Clec4b1	1
C430049B03Rik	3
Atp8b1	2
Msrb1	6
Clmp	4
Dnase1l3	1
Itk	5
Abcb1b	10
Mxd1	0
Cyb5a	0
Tgfb1i1	4
Cxcr4	1
Vat1	0
Cadm1	9
Maged1	4
Fgl2	0
Khdrbs3	2
Mrvi1	2
Mest	9
Cd300c2	0
Sgo2a	8
Sema3b	9
Plpp1	4
Phlda3	2
Aspa	9
E230029C05Rik	0
Nr2f2	2
Spry2	2
Prex2	3
Mcm5	8
F630028O10Rik	1
Oasl2	0
Fbxo5	8
Slc9a3r2	4
Arg2	1
Col16a1	9
Bmp1	2
Dnajb1	0
Pam	4
Mcam	3
Aurkb	8
Wwtr1	4
Meox2	3
Foxf1	10
Fzd2	2
Sept1	5
Trem1	1
Slamf1	1
Sirpb1c	0
Smc4	8
Nsg2	9
Ndc80	8
Tubb2b	7
Ppp1r12b	2
Ece1	3
Rnd1	3
Dst	0
Osmr	2
Lepr	7
Mef2c	0
Dpp4	1
Smim1	10
Plat	2
Stard10	10
Clec4n	0
Klk8	5
Tcf19	8
Atp1a3	1
Aurka	8
Hlf	2
Lpar6	0
Rgs2	0
Mall	3
Gimap6	5
Bmp4	3
Sod2	6
Dusp5	0
Fcgrt	6
Ckap4	0
Stk26	10
Tgfb3	2
Mecom	3
Lgals1	6
Odc1	0
Crim1	4
Itgal	5
Pltp	0
Slc35f1	9
Cdh2	9
Ahnak2	2
Tuba1a	0
C3ar1	0
Fam167b	3
Cdca7	1
Gm10827	7
Fbxl5	0
Rhou	10
Tie1	3
Sept4	3
Slamf9	1
Ecm2	2
Crispld2	2
Bcl11b	5
Rnd3	0
Ltb4r1	0
Klhl23	7
H2-Aa	6
H2afz	6
Sowahc	0
Myo10	4
Ncaph	8
Kiz	10
Pmaip1	0
Lbp	4
Epb41l4b	9
Ccdc152	1
Tcrg-C2	7
Sult2b1	7
Rbms3	2
Sytl2	5
Dmd	9
Spry1	3
Abi3bp	10
Creld2	0
Tmem176b	6
Csf3r	0
Cd28	5
Rasip1	3
Bcar3	1
Hand2os1	9
Degs2	7
Fth1	6
Ifi202b	0
Dpysl3	4
Asf1b	8
Hoxa5	10
Slfn9	1
Gjc3	9
Ifit1bl2	7
Slc16a1	10
Efna5	2
Eng	3
Ngfr	9
Itgb3	5
Gatm	6
Plau	1
Inpp4b	5
Pdgfb	3
3830403N18Rik	1
Ltbp1	9
Cd151	4
Tjp1	4
Hist1h4h	8
Tubb3	7
H2-Eb1	6
Adcyap1r1	2
Pdgfrl	7
Cd226	5
Oasl1	1
Gclc	1
Zmynd15	1
Lpar1	9
Nabp1	0
Dtl	8
Gclm	0
Slfn5	0
Itgb8	9
Cd72	0
Gpr171	0
Cited2	0
Pdlim7	2
Basp1	6
P3h4	2
Clec14a	3
Txnrd1	0
Incenp	8
Ero1l	0
Foxp2	7
Nexn	2
Adrb2	1
Arfgef3	9
Cdc42ep5	2
1500009L16Rik	9
Carmn	2
Clec5a	1
Plekhb1	9
Nr4a1	0
Spry4	2
Gadd45b	0
Gstm1	2
P2ry10	5
Gm45184	7
Ank1	2
Dkk3	2
Cd300ld	1
Sdc2	2
Ramp3	1
Klrb1a	5
Tgfbr3	2
Fdps	0
Ptprr	3
Fads2	9
Atf3	6
Tlr3	1
Pkib	0
A430035B10Rik	7
Meox1	3
Tek	3
Tespa1	5
Olfml3	4
Gm4951	1
Pbx1	4
Tcf4	0
Rnf128	7
Bmx	7
Bcl2a1d	0
Cd38	0
Slc20a1	1
Asb2	1
Kcnq1ot1	0
Sdf2l1	0
Nlrp3	0
Fnbp1l	1
Fhl1	3
Kif4	8
Ntrk3	2
Ciita	0
Trp53i11	3
F11r	3
Tmem158	3
Scube2	2
Bst1	0
Laptm4b	2
Robo4	3
Tspan12	3
Icam1	0
Spn	5
Abcd3	1
Clnk	5
Cped1	2
Gpr34	1
AI504432	1
Lyst	0
Irak1bp1	2
Mxra7	4
Prkaa2	7
Tacc3	8
H2-Q10	1
Lockd	8
Pdcd4	5
Lpp	0
Nckap1	4
Sptbn1	0
Il6st	0
Lhfpl2	9
Tmod2	9
Avpi1	10
Hacd1	1
Jaml	0
Tspan3	0
Kif20b	8
Gm8369	5
Socs1	0
Myo1b	4
Mmp23	2
Cbfa2t3	0
Smpdl3a	0
Hspa5	6
Tubb5	6
Cd83	0
Ngf	2
Syt11	9
Flna	6
Cdon	10
Strip2	7
Tesc	7
Axl	0
Pdzd4	7
Tent5c	1
Parm1	2
Chpt1	1
Antxr1	2
Ctsb	6
Cpm	7
Sdcbp2	3
Tuba1c	0
Gm26532	0
Gbp6	1
Ldhb	1
Adamtsl3	2
C1qtnf2	2
Cd2ap	0
Ppt1	0
Cd40	1
Lmnb1	0
Ms4a8a	0
Cd74	6
Pycard	6
Pid1	0
Ppargc1a	7
Bnip3	0
Slfn1	0
Myof	0
Gm13075	7
Tob1	1
Msr1	0
Bdh1	7
Neil3	8
Lrp1	0
Ttyh1	9
Syngr2	0
Ier3	6
Tcf7	5
Ddr2	2
Ablim1	5
Fam20c	1
Myo6	2
Nfkbia	6
Tmem119	1
Rasgef1b	1
Tgfbi	6
Hmgcs1	0
Vps37b	0
Prkcd	0
Cfl2	0
Atp2b4	2
Lnx1	3
Ctnnal1	9
Kmo	1
Clec12a	0
Mdh1	0
Lrba	10
Pole	8
Il17rb	5
Lck	5
Tnni2	1
Pcdh19	3
Ptpn14	3
Calcrl	4
Hvcn1	1
E2f8	8
Plek	6
Net1	1
Fpr1	1
Hoxb5	3
Nfkbid	1
Zfhx3	0
Gmnn	8
Rapgef5	3
Cenpw	8
Ntn1	3
Ikzf3	5
Htra1	2
F5	1
Sox7	3
Tspan13	0
Rrm1	8
Nt5e	5
Ccdc85a	3
Fat1	2
Mcm4	1
Ctsd	6
Atf5	2
Erbb3	9
Bsg	6
Dnm3	3
Pdzd2	9
Cd14	6
Syne2	10
Gm6377	1
Itgam	0
Cyp51	1
Procr	3
Ly75	5
Trp53inp1	1
Prr11	8
Acp5	0
Olfm1	0
Spint1	1
Pxdn	4
Ifi44	0
Pcna	0
Klf2	0
Plxnc1	1
Lrig1	2
Gimap1	5
Dhfr	8
Bambi	3
P2ry10b	1
