gene	cluster
Clu	3
Angptl2	13
Ces1d	2
Cd69	11
Ppp1r14a	2
Id3	3
Pcdh17	10
Gpm6b	4
Tshz2	3
Mrpl27	0
2200002D01Rik	10
Cbr2	0
Mgl2	6
Lmod1	2
Ccl6	6
Fkbp11	2
Nedd4	3
Vtn	2
Ncam1	4
Cacnb3	7
Aebp1	3
Csf1	2
Jam2	3
Prr15	7
Epcam	7
Ccl25	1
Ccn2	4
Gdf10	2
Lyz1	5
Gucy1b1	13
Fmo2	7
Cavin2	3
Ccl24	6
Chrm2	2
Igfbp5	7
Cd200	3
Il10	5
Cd209d	11
Dapk2	11
C4b	3
Trgv2	11
Itih5	4
Serpinb6b	7
Il6	1
Rrm2	8
Col12a1	4
Cavin1	3
Adamts5	4
Cpe	2
Pecam1	10
Hist1h2ab	8
Papss2	1
Gja1	0
Smco4	9
Lgi2	13
Meg3	7
Cxcr6	12
S100a4	6
Flt1	10
Cryab	4
Fxyd1	4
Nid1	3
Cd36	10
Penk	5
Tnip3	0
Ank3	4
Hmox1	0
Slc12a2	2
Yae1d1	1
Klrd1	12
Ccnb2	8
Nos2	9
Ogn	3
Prdx1	6
Serpinb1a	7
Ifit1	1
Calca	5
Chl1	4
Hpgd	7
Synm	2
Csrp2	3
Synpo2	2
Pdgfa	4
Hbegf	0
Mmp9	1
Ifit2	1
Aldh1a3	13
Cenpe	8
Ndufa4l2	2
Rgs16	9
Notch3	5
Mgam	5
Il7r	1
Eln	2
Ptges	5
Svep1	13
Fstl1	3
Serpine2	4
Trac	12
Rgs4	2
Ckb	0
Meis2	3
C1s1	3
Tnfrsf9	11
Il1rn	0
Adamts1	4
Cd24a	1
Fcrls	0
Col5a1	13
Ifi205	0
Gm26885	5
Hdc	1
Adgrg3	5
Mmrn2	10
Cxcr2	1
Kdr	10
Gsta4	7
Mal	4
Spint2	7
Pdlim3	7
Ccdc80	3
Cavin3	3
AA467197	0
Hist1h1d	8
Sh3bgr	2
Cx3cr1	0
Gpx3	3
Prss23	3
Sfn	7
Ltc4s	0
Rgcc	10
Dut	8
Hmcn2	13
Bcl11a	11
AW112010	0
Hist1h1e	0
Igfbp6	3
Cdkn1c	9
Cox7a1	1
Folr2	0
Vcan	0
Il1r1	2
Sdc1	2
Serpina3n	3
Cdh11	3
Hilpda	0
Dmpk	2
Nupr1	3
Mgst1	3
Tm4sf5	7
Gem	2
Knl1	8
Ecscr	10
Kif11	8
Pdgfrb	2
Hsd11b1	12
Vcam1	0
Clec4e	1
Stmn2	9
Ms4a7	0
Loxl2	2
Cdca8	8
Eif1b	0
Plpp3	3
Igfbp4	3
Ch25h	1
Clec10a	0
Il2rb	12
F13a1	0
Sulf1	7
Hcar2	1
Hist1h3e	8
Isg15	0
Phlda1	0
Crip2	3
Capg	6
Rbp1	3
Col8a1	2
Lox	2
Steap4	2
H2-DMb2	11
Egr3	1
Podxl	10
Aldh1a2	7
Fxyd6	13
Sod3	2
Cdh19	4
Emcn	10
Gm49708	3
Ptprz1	4
Ifit3	1
Ccr9	11
Cd34	10
Fermt2	3
Flnc	2
Il2ra	11
Cysltr2	5
Kcnk3	2
Chchd10	2
Mrc1	6
Tmem252	10
F830016B08Rik	5
Epas1	10
Ccn3	1
Rspo1	7
S100a16	3
Lamb1	3
Dusp2	12
Chka	1
Spata7	9
Ramp2	10
Selenom	3
