geneCluster_0	geneCluster_1	geneCluster_2	geneCluster_3	geneCluster_4	geneCluster_5	geneCluster_6	geneCluster_7	geneCluster_8
Zfp420	A530010L16Rik	Ggnbp2						
Zfp27	Gm16378	Appbp2						
Zfp383	Gm45894	Med13						
Zfp74	Cpne7	Rnft1						
Zfp568	Sult5a1	Rps6kb1						
Zfp146	Spata33	Vmp1						
Gm5113	Spire2	Gm11478						
Clip3	Gm22314	Cltc						
Alkbh6	2810455O05Rik	Dhx40						
Sdhaf1	Gm4342	Supt4a						
Lrfn3	Gm45890	Dynll2						
Aplp1	Map10	Srsf1						
Hspb6	Pcnx2	Vezf1						
Lin37	Gm45805	Mrps23						
U2af1l4	A630001O12Rik	Msi2						
Kmt2b	Gm38574	Scpep1						
Rbm42	Gm45746	Trim25						
Haus5	Gm32856	Utp18						
Dmkn	Gm10044	Mbtd1						
Gm4673	Fam107a	Nme1						
Scn1b	Gm9800	Spag9						
Wtip	Fhit	Tob1						
Pdcd2l	Gm48442	Luc7l3						
4931406P16Rik	Rpl21-ps4	Ankrd40						
Chst8	Gm3839	Lrrc59						
Lrp3	Gm48602	Mrpl27						
Gpatch1	Gm47794	Ppp1r9b						
Faap24	5430414B19Rik	Slc35b1						
Cep89	Gm47797	Spop						
Nudt19	Gm47798	Zfp652						
Ankrd27	Gm4939	Gngt2						
Dpy19l3	Gm2237	Snf8						
Zfp507	Gm30054	Ube2z						
Tshz3	Mss51	Atp5g1						
Uri1	1810062O18Rik	Cbx1						
Plekhf1	Myoz1	Nfe2l1						
Gm37494	Gm30108	Cdk5rap3						
Gm26526	Gm6128	Kpnb1						
AI987944	C130012C08Rik	Npepps						
AW146154	Gm47601	Mllt6						
2610021A01Rik	Zmiz1os1	Psmb3						
Zfp788	Gm26660	Cwc25						
Zfp141	Gm47920	Rpl23						
Zfp976	Gm26772	Lasp1						
Zfp975	Anxa11os	Rpl19						
Zfp715	Tmem254a	Med1						
Siglecg	Gm7565	Cdk12						
Iglon5	Erc2	Mien1						
Zfp719	Gm2670	Psmd3						
Klk8	Cacna2d3	Msl1						
Klk1	Il17rb	Casc3						
2410002F23Rik	Chdh	Rara						
Spib	Gm18072	Smarce1						
Pold1	Gm7644	Eif1						
Atf5	Tnnc1	Acly						
Nup62	Dnah1	Dnajc7						
Il4i1	Colq	Dhx58						
Tbc1d17	Gm48914	Rab5c						
Akt1s1	Fam170b	Stat3						
Med25	Lrrc18	Atp6v0a1						
Fuz	A630023A22Rik	Mlx						
Ap2a1	Anxa8	Ezh1						
Cpt1c	Npy4r	Coa3						
Bcl2l12	Rpl23a-ps3	Becn1						
Irf3	Gprin2	Psme3						
Scaf1	Gm3219	Rpl27						
Prr12	Ldb3	Ifi35						
Prrg2	5830448L01Rik	Nbr1						
Nosip	2610528A11Rik	Tmem106a						
Rcn3	Eif1-ps1	Dhx8						
Flt3l	Gm47547	Dusp3						
Aldh16a1	Cdv3-ps	Lsm12						
Tead2	Gm49146	Ubtf						
Trpm4	Gm7324	Slc25a39						
Ruvbl2	Gm8113	Grn						
Gys1	Ptgdr	Gpatch8						
Dhdh	Gm17173	Eftud2						
Plekha4	Gpr137c	Nmt1						
Bcat2	Gm15601	Hexim1						
Rasip1	Gm49125	Fmnl1						
Dbp	A530076I17Rik	Gosr2						
Sphk2	Gm1821	Nsf						
Grwd1	Gm15222	Arf2						
Grin2d	Gm10101	Kansl1						
Tmem143	2810457G06Rik	Tanc2						
Ccdc114	Gm48958	Limd2						
Nomo1	Gm18811	Ccdc47						
Sergef	Gm48986	Ddx42						
Saal1	Gm49307	Psmc5						
Saa3	Gm48909	Smarcd2						
Hps5	Gm49204	Milr1						
Gtf2h1	Gm16082	Ddx5						
Uevld	Tlr11	Bptf						
Gm32031	Ccnb1ip1	Nol11						
Tmem86a	Pnp2	Psmd12						
Zdhhc13	Gm43766	Helz						
Nav2	Trdv4	Gna13						
Htatip2	Gm10366	Slc16a6						
Prmt3	Ajuba	Prkar1a						
Fancf	4931414P19Rik	Abca9						
Svip	Cdh24	Fam104a						
Tubgcp5	Gm8865	Rpl38						
Nipa1	Ppp1r3e	Cd300a						
Atp10a	Gm10364	Cd300ld						
9330162G02Rik	Thtpa	Cd300c2						
Snhg14	Gm8894	Cd300lf						
Snrpn	Carmil3	Slc9a3r1						
Ndn	Fitm1	Mrpl58						
Mtmr10	Rec8	Atp5h						
Fan1	Gm49747	Nt5c						
Apba2	Tssk4	Jpt1						
Nsmce3	Ltb4r2	Sumo2						
Tjp1	Cma1	Mrps7						
Tarsl2	Gzmc	Mif4gd						
Pcsk6	Rnf17	Grb2						
Aldh1a3	Gm4032	H3f3b						
Asb7	Gm8971	Wbp2						
Lysmd4	Gm20430	Mrpl38						
Lrrc28	Fgf9	Ten1						
Ttc23	Gm33321	Srp68						
Synm	Rpl13-ps3	Ubald2						
Nr2f2	Gm6904	Prpsap1						
B130024G19Rik	Phf11c	Mettl23						
A730056A06Rik	Gm47694	Srsf2						
Rgma	Amer2	Sec14l1						
Gm44645	Gm27010	Sept9						
Fam174b	Gm26916	Tnrc6c						
Klhl25	Gm37472	Syngr2						
Ntrk3	Gm37820	Socs3						
Mrpl46	Fam124a	Pgs1						
Mrps11	Gm26536	Cyth1						
Det1	n-R5s47	Eif4a3						
Aen	Neil2	Rnf213						
Mfge8	Xkr6	Ndufaf8						
Polg	Gm26225	Slc38a10						
Pex11a	Gm37183	Actg1						
Anpep	Fbxo16	Mrpl12						
Ap3s2	Clu	Mcrip1						
Gm44950	Ephx2	P4hb						
Arpin	1700001G11Rik	Arhgdia						
Zfp710	Gm9130	Alyref						
Sema4b	Gm5464	Anapc11						
Gdpgp1	Pnma2	Sirt7						
Ngrn	Adamdec1	Mafg						
Vps33b	Stc1	Cenpx						
Rccd1	Rps2-ps5	Cbr2						
Unc45a	4930480K23Rik	Gps1						
Hddc3	9930012K11Rik	Slc16a3						
Man2a2	Phyhip	Csnk1d						
Blm	Lgi3	Cybc1						
Zscan2	Nudt15	Wdr45b						
Wdr73	Gm49164	Metrnl						
Nmb	Gm16409	Gdi2						
Zfp592	Cbx3-ps6	Klf6						
Pde8a	Gm10847	Pfkp						
2900076A07Rik	Gm4285	Gtpbp4						
Whamm	Kctd4	Larp4b						
3110040N11Rik	Gm49001	Dip2c						
Hdgfl3	Gm1587	Zmynd11						
Sh3gl3	Tnfsf11	Lgals8						
Adamtsl3	Gm6997	Lyst						
Efl1	Olfm4	Ggps1						
Mex3b	Gm7004	Arid4b						
Gm16638	Gm49159	Mrpl32						
Stard5	Gm49197	Psma2						
Gm45838	Rps3a2	Mplkip						
Il16	Gm10110	Cdk13						
Tlnrd1	Gm7232	Rala						
Abhd17c	Klf5	Vps41						
Fah	Gm34589	Stard3nl						
Nox4	Gm26778	Elmo1						
Gm26522	4933432I03Rik	Aoah						
Gm44751	Rpl17-ps7	Zkscan3						
Tmem135	Gm34643	Zscan26						
Fzd4	Gm34907	Hist1h4d						
Prss23	Scel	Hist1h1e						
2310010J17Rik	Gm16259	Hist1h2bc						
Sytl2	Gm36107	Hfe						
Tmem126b	Rpl27a-ps2	Hist1h1c						
Dlg2	Cldn10	Cmah						
Ccdc90b	Gm49179	BC005537						
Rab30	Gm49768	Uqcrfs1						
Tenm4	Gm6087	Dusp22						
Nars2	Gm9391	Serpinb9						
Gab2	1810041H14Rik	Serpinb6a						
Usp35	A330035P11Rik	Ripk1						
Alg8	Gm17082	Tubb2a						
Thrsp	Gm49260	Psmg4						
Ints4	4930594M22Rik	Prpf4b						
Aamdc	Gm26870	Eci2						
Pak1	Gm7390	F13a1						
Myo7a	Mmp10	Ly86						
Capn5	Mmp27	Rreb1						
Tsku	Gm45494	Ssr1						
Lrrc32	Cfap300	Riok1						
Dgat2	Cep126	Snrnp48						
Serpinh1	Trpc6	Txndc5						
Arrb1	Pgr	Eef1e1						
Tpbgl	Gm47089	Gcnt2						
Gm10605	Fat3	Pak1ip1						
Rnf169	Gm48849	Tmem14c						
Chrdl2	Zfp558	Hivep1						
Pold3	Muc16	Nol7						
Lipt2	Gm7808	Ranbp9						
Kcne3	Gm26733	Mcur1						
Pgm2l1	Gm46142	Cd83						
C2cd3	Gm48069	Jarid2						
Coa4	Fbxl12os	Dtnbp1						
Gm35082	Gm47079	Mylip						
Relt	Icam4	Atxn1						
Arhgef17	Raver1	Nup153						
P2ry2	Gm16754	Dek						
Atg16l2	S1pr5	Fam120a						
Stard10	Ccdc159	Ninj1						
Pde2a	Swsap1	Card19						
Clpb	Epor	Spin1						
Inppl1	Rgl3	Sema4d						
Gm10602	Gm16845	Gadd45g						
Anapc15	Gm48478	Syk						
Il18bp	Zfp599	Auh						
Rnf121	Gm48627	Nfil3						
Xndc1	Bmper	Sfxn1						
Stim1	Gm47772	4833439L19Rik						
Trim21	Gm48272	Higd2a						
Trim68	Gm5120	Cltb						
Trim34a	Gm48673	Faf2						
Trim12a	Ntm	Rnf44						
Trim30b	Adamts15	Hk3						
Fam160a2	Adamts8	Uimc1						
Cavin3	St14	Nsd1						
Smpd1	4930517E14Rik	Rab24						
Apbb1	Barx2	Prelid1						
Trim3	Gm3756	Lman2						
Arfip2	Gm47496	Grk6						
Rrp8	Gm38292	Ddx41						
Dchs1	Gm38346	Tmed9						
Gm4070	Gm10698	Ddx46						
Olfml1	Gm5614	B230219D22Rik						
Ppfibp2	Cdon	Txndc15						
Ric3	Gm25630	Pcbd2						
Lmo1	Hyls1	H2afy						
St5	Gm48443	Tifab						
Akip1	Pknox2	Tgfbi						
4930431P19Rik	Gm47643	Smad5						
Scube2	Gm47652	Hnrnpa0						
Tmem41b	Gm47963	Idnk						
1600010M07Rik	Vsig2	Ubqln1						
Zfp143	Olfr889	Gkap1						
Wee1	Olfr920	2210016F16Rik						
Adm	AW551984	Hnrnpk						
Rnf141	Zfp202	Agtpbp1						
Mrvi1	Gm48114	Naa35						
1700012D14Rik	Gm5055	Tut7						
Galnt18	Gm16096	2010111I01Rik						
Dkk3	Crtam	Ctsl						
Mical2	Gm48611	Mfsd14b						
Parva	Gm48742	Uqcrb						
Tead1	Gm39321	Nsun2						
Rassf10	Gm5831	Med10						
Arntl	Pou2f3	Ndufs6						
Btbd10	Gm39323	Mrpl36						
Spon1	Gm26737	Clptm1l						
Rras2	Gm10687	Brd9						
Pde3b	5830462O15Rik	Exoc3						
Xylt1	Gm10686	Pdcd6						
Syt17	Gm48604	Sdha						
Coq7	Gm10080	Ccdc127						
Ccp110	9430081H08Rik	Erap1						
Vps35l	Gm9830	Cast						
Gprc5b	C030014I23Rik	Ell2						
Thumpd1	Gm47204	Glrx						
Eri2	Gm47230	Fam172a						
Dcun1d3	E030022I16Rik	Arrdc3						
Lyrm1	Gm47234	Lysmd3						
Tmem159	Gm48562	Cetn3						
Eef2k	Gm48314	Mef2c						
Polr3e	Gm48720	Ccnh						
Cdr2	Mpzl2	Rasa1						
Usp31	Gm48840	Cox7c						
Cog7	Gm10684	Vcan						
Gga2	Gm47596	Tmem167						
Ears2	Scn2b	Rps23						
Ubfd1	BC049352	Zcchc9						
Palb2	2610028D06Rik	Tent2						
Chp2	Gm7286	Scamp1						
Gm20274	Gm48529	Ap3b1						
Lcmt1	A830035O19Rik	Tbca						
Gtf3c1	Nxpe2	Aggf1						
D430042O09Rik	Nxpe1-ps	Iqgap2						
Spns1	Plet1os	Col4a3bp						
Nfatc2ip	Plet1	Hmgcr						
Rabep2	Bco2	Nsa2						
Sh2b1	Pih1d2	Hexb						
Tufm	Dixdc1	Gm10260						
Apobr	2310030G06Rik	Btf3						
Il27	Colca2	Fcho2						
2510046G10Rik	Exph5	Tnpo1						
Sgf29	4930550C14Rik	Bdp1						
Sult1a1	Rab39	Smn1						
Slx1b	Rps6-ps3	Ak6						
Fam57b	Slc35f2	Mrps36						
Hirip3	Rab7-ps1	Pik3r1						
Kctd13	Nrg4	Srek1						
Zg16	Isl2	Erbin						
AI467606	Gm7435	Srek1ip1						
Qprt	Peak1os	Kif2a						
Cd2bp2	Gm37842	Zswim6						
Tbc1d10b	Gm36940	Smim15						
Zfp553	Lingo1	Plk2						
Zfp771	Gm47237	Gpbp1						
Dctpp1	Gm10658	Map3k1						
Sephs2	2700012I20Rik	Il6st						
Zfp768	Man2c1os	Slc38a9						
Zfp747	Gm5121	Mtrex						
Zfp764	D9Wsu149	Snx18						
Zfp688	Gm6166	Ndufs4						
Prr14	Rpp25	Mocs2						
Fbrs	Gm26631	Emb						
1700008J07Rik	Cyp11a1	Paip1						
Srcap	Stra6	Hmgcs1						
Gm42715	Rec114	Zfp131						
Phkg2	Rps11-ps1	Gm21188						
Rnf40	Tmem202	Rab10						
Zfp629	Gm49759	Asxl2						
Ctf1	Gramd2	Dnmt3a						
Fbxl19	Senp8	Ncoa1						
Orai3	Thsd4	Itsn2						
Setd1a	Gm47676	Sf3b6						
Hsd3b7	B930082K07Rik	Ubxn2a						
Zfp668	Gm10655	Atad2b						
Zfp646	Gm26609	Rhob						
Bckdk	Calml4	Pum2						
Kat8	Gm16759	Laptm4a						
Itgax	Smad6	Smc6						
Cox6a2	Scarletltr	Fam49a						
Armc5	Gm48855	Ddx1						
Tgfb1i1	Uchl4	Rock2						
BC017158	Gm17749	Pdia6						
Rgs10	Pif1	Odc1						
Inpp5f	Snx22	Hpcal1						
Sec23ip	Gm4978	Itgb1bp1						
Wdr11	Gm10642	Adam17						
Tacc2	Lipc	Ywhaq						
Htra1	Aqp9	Kidins220						
2310057M21Rik	Aldh1a2	Id2						
Pstk	Gm38057	Rsad2						
Ikzf5	Gm38111	Rps7						
Cpxm2	Gm37879	Acp1						
Chst15	Gm37663	Dld						
Lhpp	Gm37023	Hbp1						
Fam53b	A430027C01Rik	Pik3cg						
Eef1akmt2	Gm37137	Ccdc71l						
Gm45501	Rpl15-ps2	Nampt						
Abraxas2	Uba52-ps	Sypl						
Edrf1	Gm19353	Atxn7l1						
Uros	Gm17828	Twistnb						
Dhx32	Gm37983	Ahr						
Adam12	Gm37303	Tspan13						
5830432E09Rik	BC065403	Bzw2						
Mgmt	Gm36948	Ifrd1						
Ebf3	Gm19427	Dnajb9						
9430038I01Rik	Gm37105	Pnpla8						
Mapk1ip1	A530064N14Rik	Scfd1						
Pwwp2b	Dyx1c1	Strn3						
Inpp5a	Unc13c	Hectd1						
Gm16201	Gm2981	Sptssa						
Tubgcp2	Gm19531	Eapp						
Zfp511	4933433G15Rik	Snx6						
Msx3	Hmgcll1	Cfl2						
Fuom	Fam83b	Baz1a						
Paox	Lrrc1	Psma6						
Mtg1	Gm21013	Nfkbia						
Sirt3	C920006O11Rik	Trappc6b						
Cox8b	Ddx43	Pnn						
Pgghg	Gm8093	Mia2						
Sigirr	Cd109	Prpf39						
Ptdss2	Gm17477	Fkbp3						
Phrf1	Gm9531	Rps29						
Deaf1	Rps27a-ps2	Rpl36al						
Tmem80	Sh3bgrl2	Mgat2						
Gatd1	Gm48832	Klhdc2						
Slc25a22	4933431K14Rik	Nemf						
Cracr2b	Ube2cbp	Arf6						
Cd151	Gm17530	Sav1						
Tspan4	Rwdd2a	Nin						
Chid1	Gm28229	Pygl						
Tollip	9430037G07Rik	Tmx1						
Mob2	Gm10634	Actr10						
Dusp8	Bcl2a1d	Psma3						
Tnni2	Gm37560	Arid4a						
Mrpl23	Gm29562	Jkamp						
Tspan32	Gm2396	Dhrs7						
R74862	Gm38091	Ppm1a						
Tssc4	Minar1	Hif1a						
Gm27803	Rasgrf1	Snapc1						
Cdkn1c	Gm26882	Ppp2r5e						
Cars	Adamts7	Wdr89						
Tnfrsf26	Gm16200	Churc1						
E230032D23Rik	Gm5620	Max						
Tnfrsf23	Gm28424	Fut8						
Osbpl5	Gm16794	Atp6v1d						
Dhcr7	Gm38375	Eif2s1						
Cttn	BC043934	Vti1b						
Ppfia1	Gm8520	Zfp36l1						
Fadd	Gm28530	Erh						
LTO1	Esyt3	Susd6						
Tpcn2	Il20rb	Srsf5						
Plekhg1	Gm37204	Synj2bp						
Mthfd1l	Gm38297	Sipa1l1						
Akap12	Gm3081	Rbm25						
Zbtb2	Gm37553	Psen1						
Gm21781	Gm37621	Npc2						
Rmnd1	Gm37953	Isca2						
Armt1	Gm37314	Fcf1						
Syne1	Ephb1	Ylpm1						
Myct1	Ky	Dlst						
Mtrf1l	Tmem108	Eif2b2						
Cnksr3	Hmgb1-rs16	Tmed10						
Nup43	Gm37563	Fos						
Lats1	Gm38077	Jdp2						
Zc3h12d	Gm47103	Batf						
Ust	Gm19667	Erg28						
Samd5	Gm5621	Irf2bpl						
Stxbp5	Col6a6	Ahsa1						
Shprh	Col6a5	Sptlc2						
Fbxo30	Glyctk	Slirp						
Epm2a	Tlr9	Snw1						
Utrn	4930500F10Rik	Gtf2a1						
Stx11	Gm37612	Sel1l						
Plagl1	Cacna2d2	Gpr65						
Fuca2	Gm9917	Zc3h14						
Pex3	Gm19721	Foxn3						
Adat2	Gm37436	Psmc1						
Heca	Amigo3	Calm1						
Reps1	Bsn	Ppp4r3a						
Ccdc28a	4930447F24Rik	Trip11						
Nhsl1	Amt	Ndufb1-ps						
Hebp2	Gm37401	Cpsf2						
Pex7	Rps2-ps11	Rin3						
Map3k5	Gm38366	Lgmn						
Map7	Gm37678	Btbd7						
Pde7b	4833445I07Rik	Ddx24						
Gm17229	Celsr3	Ifi27l2a						
Ahi1	Gm38004	Serpina3g						
Hbs1l	3000002C10Rik	Dicer1						
E030030I06Rik	Gm4734	Glrx5						
Gm26740	Gm42433	Papola						
Hmgb1-ps8	Gm42432	Vrk1						
Tbpl1	Cspg5	Setd3						
Tcf21	Gm42763	Evl						
Slc18b1	Tmie	Yy1						
Moxd1	Als2cl	Wars						
Gm15270	Lrrc2	Ppp2r5c						
Enpp1	Ltf	Dync1h1						
Enpp3	Gm43814	Hsp90aa1						
Med23	Bcl2a1c	Rcor1						
Gm36543	4930520O04Rik	Tnfaip2						
Tmem200a	Tmppe	Eif5						
L3mbtl3	Ccr4	Mark3						
Lama2	Gm9888	Apopt1						
Gm36962	Osbpl10	Klc1						
Ptprk	Gm5921	Atp5mpl						
Echdc1	Gm9385	Siva1						
Rnf146	Gm31410	Akt1						
Rspo3	Gm17399	Pld4						
Trmt11	Gm2415	Gpr132						
Gm20300	Gm10608	Crip1						
Hint3	Xylb	Ighm						
Hddc2	Gm47320	Esyt2						
Tpd52l1	Gm47043	Selenop						
Rnf217	Ccr8	AW549877						
Calhm5	Gm47050	Oxct1						
Gm47445	Myrip	Rpl37						
Nt5dc1	Entpd3	Dab2						
Tspyl4	5830454E08Rik	Fyb						
Frk	Gm39459	Rictor						
Amd2	C230053D17Rik	Lifr						
Lama4	Gm47092	Nipbl						
Fam229b	Gm47111	Dnajc21						
Traf3ip2	4632418H02Rik	Brix1						
E130307A14Rik	Gm47121	Tars						
Rev3l	Gm26797	Sub1						
Slc16a10	Zkscan7.1	Zfr						
Amd1	Scp2-ps2	Golph3						
Cdk19	Slc6a20b	Basp1						
Fig4	Slc6a20a	Retreg1						
Zbtb24	Xcr1	Zfp622						
Mical1	Ccr3	Otulin						
Smpd2	Gm39469	Otulinl						
Ccdc162	Pisd-ps1	Trio						
Cep57l1	Sec14l2	Dap						
Sesn1	Gm11956	March6						
Foxo3	Gm11960	Cct5						
Afg1l	AA413626	Mtdh						
Ostm1	Nefh	Rpl30						
Scml4	Gm11963	Cox6c						
Sobp	Gm11964	Polr2k						
Pdss2	Ube2d-ps	Pabpc1						
1700021F05Rik	Rps15a-ps6	Ywhaz						
Qrsl1	Gm11969	Zfp706						
Rtn4ip1	A730071L15Rik	Ubr5						
Crybg1	Gm11970	Azin1						
Gm48065	Gm11975	Atp6v1c1						
Gm35154	Nacad	Dcaf13						
Prep	Gm11992	Oxr1						
Hace1	Zpbp	Eif3e						
Gm46224	Gm12599	Emc2						
Dcbld1	Spata48	Eny2						
Gopc	Cobl	Trps1						
Cep85l	Gm12663	Eif3h						
Pln	Eldr	Rad21						
Gm47644	Fbxo48	Med30						
Mcm9	Gm12013	Ext1						
Asf1a	Etaa1os	Mrpl13						
Tbc1d32	Gm37818	Derl1						
Msl3l2	2900018N21Rik	Zhx1						
Hsf2	Gm12042	Fam91a1						
Ccdc138	9130230N09Rik	Tmem65						
Sh3rf3	Efemp1	Ndufb9						
Sept10	A630052C17Rik	Mtss1						
Mcu	Eml6	Nsmce2						
Micu1	Gm8098	Trib1						
Dnajb12	Gm12097	Fam49b						
Ddit4	Il9r	Asap1						
Ascc1	Rpsa-ps4	Efr3a						
Spock2	Fgf18	Phf20l1						
Chst3	Ranbp17	Sla						
Unc5b	Kcnip1	St3gal1						
Pcbd1	Kcnmb1	Chrac1						
Pald1	Fam196b	Ago2						
Lrrc20	Wwc1	Ly6e						
Tysnd1	Gabra1	Ly6a						
Aifm2	Ccnjl	Ly6c2						
H2afy2	Gm12166	Gsdmd						
Col13a1	Gm16033	Eef1d						
Fam241b	Gm12568	Puf60						
Supv3l1	Fam71b	Plec						
Kif1bp	2310031A07Rik	Grina						
Tet1	Gm12174	Exosc4						
Slc25a16	Havcr1	Cyc1						
Dna2	Gm12183	Maf1						
Rufy2	Trim7	Vps28						
Hnrnph3	Gm12185	Cyhr1						
Sirt1	9930111J21Rik1	Rpl8						
Dnajc12	Gm12195	1110038F14Rik						
1110002J07Rik	Gm26542	Myh9						
Ado	Zfp354b	Txn2						
Tmem26	D930048N14Rik	Eif3d						
Rhobtb1	Gm12204	Ncf4						
Ccdc6	Leap2	Csf2rb2						
Slc16a9	Gdf9	Csf2rb						
Fam13c	Il5	Rac2						
Bicc1	Gm17334	Cyth4						
Tfam	Gm12218	Gga1						
Ipmk	Slc22a21	Lgals1						
Zwint	Slc22a4	Nol12						
Gnaz	Csf2	H1f0						
Rab36	Gm12229	Eif3l						
Bcr	Lyrm7	Polr2f						
Adora2a	Gm12231	Csnk1e						
Gucd1	Slc36a3os	Ddx17						
Upb1	Slc36a2	Tomm22						
Ggt5	Gm12251	Apobec3						
Gm19688	2810021J22Rik	Rpl3						
Susd2	Hist3h2ba	Atf4						
Gstt3	Hist3h2bb-ps	Rps19bp1						
Gstt1	2310058D17Rik	Tnrc6b						
Gstt2	2610507I01Rik	Slc25a17						
Mmp11	Wnt9a	St13						
Chchd10	Jmjd4	Rbx1						
Zfp280b	Gm16062	Ep300						
Prmt2	Med9os	Rangap1						
Dip2a	Rasd1	Tob2						
Pcnt	Pemt	Phf5a						
Ybey	Drc3	Aco2						
Mcm3ap	Gm12618	Snu13						
Lss	Gm26534	Srebf2						
Col6a2	Map2k3os	Smdt1						
Col6a1	Fam83g	Ndufa6						
Pcbp3	Gm26964	Tcf20						
Slc19a1	Gm12279	Nfam1						
Adarb1	Gm27194	Poldip3						
Fam207a	Fbxw10	Cyb5r3						
Ube2g2	Tvp23bos	Pacsin2						
Trpm2	Arhgap44	Tspo						
1810043G02Rik	Gm12294	Samm50						
Icosl	Myocd	Nup50						
D10Jhu81e	Usp43	5031439G07Rik						
Pwp2	Snord118	Atxn10						
Ilvbl	Cyb5d1	Cerk						
Syde1	Kdm6bos	Brd1						
2610008E11Rik	Dnah2	Creld2						
Plpp2	Gm12308	Pim3						
Mier2	Tnfsfm13	Plxnb2						
Polrmt	Tnk1	Ncaph2						
Rnf126	2810408A11Rik	Yaf2						
Fstl3	Asgr2	Zcrb1						
Palm	Slc16a11	Twf1						
Prtn3	Slc16a13	Ano6						
Med16	Gm21988	Arid2						
Arid3a	Alox15	Scaf11						
Wdr18	Tm4sf5	Slc38a1						
Abca7	Chrne	Slc38a2						
Cbarp	Gm12319	Slc48a1						
1600002K03Rik	Inca1	Vdr						
Mum1	Zfp3	Senp1						
Gamt	Gm19967	Ccnt1						
Adamtsl5	Rpl23a-ps2	Ddx23						
Mex3d	Nlrp1a	Arf3						
Tcf3	Nlrp1c-ps	Kmt2d						
Klf16	4933427D14Rik	Tuba1b						
Btbd2	Gm43951	Tuba1c						
Mob3a	4930563E22Rik	Mcrs1						
Izumo4	Spns3	Tmbim6						
Dot1l	Gm6733	Cox14						
Sf3a2	P2rx1	Cers5						
Sppl2b	P2rx5	Lima1						
Lmnb2	Gm12328	Larp4						
Slc39a3	1700016P03Rik	Dip2b						
Thop1	Gm12337	Atf1						
Pias4	Rilp	Dazap2						
Dapk3	Gm45606	Smagp						
Zfr2	Gm12338	Bin2						
Apba3	Doc2b	Galnt6						
Cactin	Fam57a	Nr4a1						
Tbxa2r	Gemin4	Eif4b						
Mfsd12	Dbil5	Itgb7						
Fzr1	Gm12341	Mfsd5						
Smim24	Rpl36-ps2	Pfdn5						
Nfic	Slc6a4	Sp1						
Ncln	Gm12346	Prr13						
Gna15	Abhd15	Pcbp2						
Gna11	Gm11191	Atf7						
Tle2	Gm10277	Cbx5						
Sirt6	Dhrs13os	Hnrnpa1						
Ankrd24	BC030499	Copz1						
Zfp873	Slc13a2	Nckap1l						
AU041133	Nos2	Mefv						
Zfp938	Rab11fip4	Zfp263						
Gm4924	Gm26563	Crebbp						
1190007I07Rik	Cdk5r1	Pam16						
Tdg	C030013C21Rik	Hmox2						
Hcfc2	Tmem98	Mgrn1						
Eid3	Cct6b	Glyr1						
Chst11	Gm11423	Ubn1						
Slc41a2	Gm11425	Nagpa						
D10Wsu102e	Slfn10-ps	Carhsp1						
Appl2	Gm20234	Usp7						
1500009L16Rik	Slfn3	1810013L24Rik						
Nuak1	Gm11427	Nubp1						
Tcp11l2	Rasl10b	Ciita						
Polr3b	1700020L24Rik	Socs1						
Ric8b	Mmp28	Litaf						
Tmem263	E230016K23Rik	Zc3h7a						
Mterf2	Myo19	Rsl1d1						
Cry1	Appbp2os	Gspt1						
Pwp1	Tubd1	Bfar						
Prdm4	Gm11491	Ntan1						
Syn3	Rad51c	Marf1						
Timp3	Tex14	Ube2v2						
1810014B01Rik	Rnf43	Dnm1l						
Nt5dc3	Tspoap1	Fgd4						
Nup37	Mks1	Mapk1						
Dram1	Gm11508	Ppil2						
Gnptab	2010015M23Rik	Sdf2l1						
Spic	Gm11510	Ube2l3						
Utp20	Gm525	Pi4ka						
Gas2l3	Gm11512	Snap29						
Scyl2	Wfikkn2	Med15						
Actr6	Mycbpap	Ranbp1						
Ikbip	Dlx4os	Comt						
Nedd1	Nxph3	Ufd1						
Cdk17	Gm9796	Mrpl40						
Gm32688	Zfp652os	Klhl24						
Gm17745	B130006D01Rik	Parl						
Vezt	Polr2k-ps	Ap2m1						
Fgd6	4833417C18Rik	Psmd2						
Nr2c1	B4galnt2	Eif4g1						
Tmcc3	Igf2bp1	Rps10-ps2						
Cep83os	Gm11539	Senp2						
Cep83	Hoxb5os	Tra2b						
Plxnc1	Gm11531	Etv5						
Cradd	Gm11517	Dnajb11						
Dcn	D030028A08Rik	Eif4a2						
Lum	Gm11525	Rtp4						
Gm48768	Prr15l	Lpp						
Poc1b	Gpr179	Il1rap						
Galnt4	Epop	Ccdc50						
Kitl	Gm11613	Opa1						
Tmtc3	Atp5l2-ps	Atp13a3						
Cep290	Gm11604	Acap2						
4930430F08Rik	Grb7	Ppp1r2						
Rassf9	Csf3	0610012G03Rik						
Tmtc2	Gm12359	Ncbp2						
Gm15666	Rapgefl1	Senp5						
Mettl25	Ccr7	Pak2						
Lin7a	Gm11560	Pigx						
Nav3	Krt19	Nrros						
Csrp2	Krt14	Pcyt1a						
Zdhhc17	Gm11598	Fyttd1						
Bbs10	Gm10039	Lrch3						
Krr1	Ttc25	Rpl35a						
Glipr1	Hspb9	Snx4						
Tmem19	Tubg2	Zfp148						
Thap2	Vps25	Itgb5						
Zfc3h1	Cntd1	Mylk						
Ptprr	Aoc2	Parp14						
Ptprb	Gm27029	Dtx3l						
Rab3ip	Rpl27-ps2	Parp9						
4933412E12Rik	Gm20659	Kpna1						
