geneCluster_0	geneCluster_1	geneCluster_2	geneCluster_3	geneCluster_4	geneCluster_5	geneCluster_6	geneCluster_7	geneCluster_8
Tns1	Apol7d	Ppp1r7	Vma21-ps	Ppp1r14a	Lrrc8b	Slc15a1	Cenpn	S1pr4
Cxcr2	4933417E11Rik	Hdlbp	Gm12529	Cox7a1	Ephx4	Ap1m2	Gins2	Ifng
Catip	Gm8885	Dtymk	Orm1	Tmem147os	Pxmp2	Tmem45b	Ccsap	Tespa1
Usp37	Gm4319	Fam174a	Gm11224	Tmem147os.1	Tbx3	Treh	Cdkn3	Il12rb1
Cnot9	Mreg	St8sia4	Frmd3	Gm9712	Mmp17	Tmprss4	Dlgap5	Fcho1
Zfp142	Gm25360	Relch	Gm5860	Ampd3	Kctd7	Apoa1	Ska3	Inpp4b
Bcs1l	Gm15843	Zcchc2	Gm10154	Gm45454	Gjc3	Apoc3	Pbk	Il27ra
Rnf25	Igfbp2	Bcl2	Gm12416	Gm9905	Pdgfa	Apoa4	Esco2	Podnl1
Ttll4	Rufy4	Vps4b	Gm12551	Hs3st4	Micall2	Gsta1	Cdca2	Trdc
Cyp27a1	Cxcr1	Tsn	Gm12643	Gm6916	Mmd2	Rbp2	Diaph3	Trac
Nhej1	Gm29358	Nifk	Gm12852	Fgfr2	Gm42788	Gm1123	Dnmt1	Gzmb
Zfand2b	Gm37733	Ralb	Gm12791	Gm4459	Col28a1	Vipr1	Spc24	Ppp3cc
Atg9a	Plcd4	Dbi	Ttc22	Cend1	Ptprz1	Inpp5j	Anln	Cysltr2
Ankzf1	Stk36	Insig2	Gm12816	H19	Mest	Myl7	Chek1	Gpr18
Glb1l	Slc23a3	Ddx18	Gm12898	Ano1	Gpnmb	Npc1l1	H2afx	Izumo1r
Tuba4a	Tmem198	Actr3	Ldha-ps2	Gm26674	Thnsl2	Ddc	Kif23	Nrgn
Dnajb2	Inha	Ccnt2	Bmp8a	Gm48045	Lrrtm1	Atp10b	Zwilch	Thy1
