genes	geneCluster
Trub2	0
Coq4	0
Slc27a4	0
Urm1	0
Cercam	0
Odf2	0
Gle1	0
Wdr34	0
Pkn3	0
Zdhhc12	0
Zer1	0
Tbc1d13	0
Endog	0
Spout1	0
Lrrc8a	0
Dolk	0
Nup188	0
Sh3glb2	0
Miga2	0
Dolpp1	0
Crat	0
Ier5l	0
Ntmt1	0
Asb6	0
Ptges	0
Usp20	0
D330023K18Rik	0
Ncs1	0
Hmcn2	0
Fubp3	0
Exosc2	0
Nup214	0
Fam78a	0
Plpp7	0
Pomt1	0
Uck1	0
Golga2	0
Dnm1	0
Ciz1	0
Lcn2	0
Ptges2	0
Slc25a25	0
Naif1	0
Fam102a	0
St6galnac6	0
Ak1	0
Eng	0
Fpgs	0
Sh2d3c	0
Tor2a	0
Ptrh1	0
Stxbp1	0
Lrsam1	0
Slc2a8	0
Garnl3	0
Ralgps1	0
Angptl2	0
Zbtb34	0
Zbtb43	0
Mvb12b	0
Pbx3	0
Rabepk	0
Psmd5	0
Ggta1	0
Dab2ip	0
Rbm18	0
Mrrf	0
Pdcl	0
Zbtb6	0
Zbtb26	0
Strbp	0
Nek6	0
Golga1	0
Scai	0
Kynu	0
Gtdc1	0
Acvr2a	0
Mbd5	0
Mmadhc	0
Rbm43	0
Cacnb4	0
Stam2	0
Arl6ip6	0
Rprm	0
Gpd2	0
Acvr1	0
Upp2	0
Pkp4	0
Tanc1	0
Wdsub1	0
Pla2r1	0
Fap	0
Gca	0
Cobll1	0
Scn3a	0
Scn2a	0
Ttc21b	0
Stk39	0
Nostrin	0
Dhrs9	0
Bbs5	0
Fastkd1	0
Ccdc173	0
Phospho2	0
Klhl23	0
Mettl5	0
Mettl8	0
Dcaf17	0
Cybrd1	0
Slc25a12	0
Hat1	0
Metap1d	0
Itga6	0
Pdk1	0
Rapgef4	0
Map3k20	0
Sp3os	0
Scrn3	0
Gpr155	0
Chrna1os	0
Chn1	0
Hoxd8	0
Hoxd4	0
Ttc30b	0
Rbm45	0
Osbpl6	0
Prkra	0
Fkbp7	0
Ccdc141	0
Sestd1	0
Zfp385b	0
Cwc22	0
Pde1a	0
Nckap1	0
Dusp19	0
Nup35	0
Fam171b	0
Calcrl	0
Tfpi	0
Tmx2	0
Med19	0
Clp1	0
Serping1	0
Ube2l6	0
Slc43a1	0
Slc43a3	0
Tnks1bp1	0
Aplnr	0
Olfr1033	0
Nup160	0
Fnbp4	0
C1qtnf4	0
Kbtbd4	0
Slc39a13	0
Madd	0
Nr1h3	0
Ddb2	0
Pacsin3	0
1110051M20Rik	0
Lrp4	0
Atg13	0
Harbi1	0
Ambra1	0
Mdk	0
Creb3l1	0
Pex16	0
Mapk8ip1	0
Cry2	0
Slc35c1	0
Chst1	0
Syt13	0
Prdm11	0
Trp53i11	0
Accs	0
Gm13889	0
Alkbh3	0
Ttc17	0
2810002D19Rik	0
B230118H07Rik	0
Traf6	0
Prr5l	0
Commd9	0
Ldlrad3	0
Gm13921	0
Fjx1	0
Pdhx	0
Apip	0
Abtb2	0
Nat10	0
Tcp11l1	0
Depdc7	0
Qser1	0
Prrg4	0
Ccdc73	0
Rcn1	0
Elp4	0
Dnajc24	0
Mpped2	0
Arl14ep	0
Mettl15	0
Lgr4	0
Ccdc34	0
Fibin	0
Lpcat4	0
Katnbl1	0
Aven	0
Fmn1	0
Grem1	0
Scg5	0
Arhgap11a	0
Gm21596	0
Zfp770	0
Dph6	0
BC052040	0
Meis2	0
2700033N17Rik	0
Eif2ak4	0
Bmf	0
Plcb2	0
Inafm2	0
Ccdc9b	0
Ivd	0
Bahd1	0
Chst14	0
Ccdc32	0
Rmdn3	0
Gchfr	0
Dnajc17	0
Zfyve19	0
Vps18	0
Dll4	0
Ino80	0
Ndufaf1	0
Rpap1	0
Mapkbp1	0
Vps39	0
Tmem87a	0
Ganc	0
Lrrc57	0
Haus2	0
Stard9	0
Cdan1	0
Ttbk2	0
Tmem62	0
Lcmt2	0
Adal	0
Zscan29	0
Tubgcp4	0
Trp53bp1	0
Map1a	0
Ppip5k1	0
Mfap1b	0
Mfap1a	0
Wdr76	0
Casc4	0
Spg11	0
Sord	0
Duox2	0
Shf	0
Slc28a2	0
Bloc1s6	0
Sema6d	0
Slc24a5	0
Fbn1	0
Cep152	0
Galk2	0
Dtwd1	0
Atp8b4	0
Hdc	0
Gabpb1	0
Usp50	0
Ap4e1	0
Itpripl1	0
1810024B03Rik	0
Ciao1	0
Dusp2	0
Adra2b	0
Fahd2a	0
Kcnip3	0
Mall	0
Nphp1	0
Tmem87b	0
Zc3h8	0
Gm10762	0
Zc3h6	0
Ttl	0
Polr1b	0
Chchd5	0
Slc20a1	0
Il1a	0
Stk35	0
Cpxm1	0
Pced1a	0
Vps16	0
9530056E24Rik	0
Ubox5	0
Itpa	0
4930402H24Rik	0
Atrn	0
Siglec1	0
Hspa12b	0
1700037H04Rik	0
Spef1	0
Cdc25b	0
Ap5s1	0
Mavs	0
Pank2	0
Rnf24	0
Smox	0
Prnp	0
Slc23a2	0
Tmem230	0
Cds2	0
Shld1	0
Trmt6	0
Crls1	0
Plcb1	0
Plcb4	0
Mkks	0
Slx4ip	0
Jag1	0
Btbd3	0
Ism1	0
Tasp1	0
Ndufaf5	0
Macrod2	0
Flrt3	0
Kif16b	0
Mgme1	0
Kat14	0
Dzank1	0
Polr3f	0
Rbbp9	0
Smim26	0
Dtd1	0
Slc24a3	0
Ralgapa2	0
Kiz	0
Thbd	0
Cd93	0
Nxt1	0
Gzf1	0
Napb	0
Zfp120	0
Zfp937	0
Zfp442	0
Apmap	0
Acss1	0
Entpd6	0
Pygb	0
Nanp	0
Psmf1	0
Fam110a	0
Slc52a3	0
Srxn1	0
Tcf15	0
Sox12	0
Zcchc3	0
Rem1	0
Mcts2	0
Id1	0
Cox4i2	0
Foxs1	0
Ccm2l	0
Tspyl3	0
Plagl2	0
Pofut1	0
2500004C02Rik	0
Asxl1	0
Nol4l	0
Dnmt3b	0
Cdk5rap1	0
Snta1	0
Cbfa2t2	0
E2f1	0
Pxmp4	0
Map1lc3a	0
Pigu	0
Trp53inp2	0
Ncoa6	0
Acss2	0
Gss	0
Edem2	0
Procr	0
BC029722	0
Uqcc1	0
Cep250	0
Cpne1	0
Nfs1	0
Epb41l1	0
Aar2	0
Myl9	0
Tgif2	0
5430405H02Rik	0
Ndrg3	0
Soga1	0
Rbl1	0
Src	0
Blcap	0
Ctnnbl1	0
Tti1	0
Rprd1b	0
Lbp	0
Snhg17	0
Ralgapb	0
Actr5	0
Ppp1r16b	0
Dhx35	0
Plcg1	0
Zhx3	0
Ift52	0
Tox2	0
2900093K20Rik	0
Fitm2	0
Ttpal	0
Ada	0
Dnttip1	0
Snx21	0
Acot8	0
Zswim1	0
Zfp335	0
Ncoa5	0
Slc35c2	0
Zfp334	0
Ocstamp	0
Trp53rka	0
Gm14267	0
Trp53rkb	0
Arfgef2	0
Cse1l	0
Stau1	0
Zfas1	0
Kcnb1	0
Ptgis	0
Slc9a8	0
Spata2	0
Snai1	0
Ube2v1	0
Ripor3	0
Adnp	0
Mocs3	0
Nfatc2	0
Atp9a	0
Zfp64	0
Tshz2	0
Gm26883	0
Bcas1	0
Fam210b	0
Cstf1	0
Cass4	0
Bmp7	0
Rbm38	0
Ppp4r1l-ps	0
Npepl1	0
Gm20721	0
Nelfcd	0
Gm14399	0
Gm4631	0
Zfp968	0
Gm6710	0
Gm14305	0
Gm14295	0
Gm14296	0
Gm14325	0
Gm14326	0
Zfp971	0
Zfp931	0
Ppp1r3d	0
Fam217b	0
Taf4	0
4921531C22Rik	0
Lsm14b	0
Ss18l1	0
Mtg2	0
Osbpl2	0
Lama5	0
Cables2	0
Mrgbp	0
Slc17a9	0
Arfgap1	0
Helz2	0
Gmeb2	0
Zgpat	0
