gene	cluster
9630010A21Rik	3
Cd46	3
Gm37132	2
Cr1l	1
Fam171a1	10
Nmt2	4
Rpp38	0
Dclre1c	15
Suv39h2	3
Hspa14	1
Gm45902	3
Cdnf	2
Fam107b	13
Frmd4a	1
Prpf18	4
Bend7	10
Sephs1	0
Phyh	1
Mcm10	16
Optn	9
Ccdc3	7
Camk1d	1
Gm13216	17
Cdc123	1
Nudt5	4
Sec61a2	0
Dhtkd1	2
Upf2	1
Proser2	7
Echdc3	9
Usp6nl	0
Celf2	6
Gm10855	14
Gm10115	0
Gata3	13
9230102O04Rik	5
Taf3	4
C630004M23Rik	2
Atp5c1	6
Kin	4
Itih5	12
Sfmbt2	3
Prkcq	4
Gm36932	7
Gm13293	14
Pfkfb3	4
Gm37975	5
Rbm17	1
Il2ra	13
Gm37881	5
Il15ra	0
Fbh1	0
Ankrd16	0
Itga8	9
Mindy3	4
Gm37289	5
Gm37255	3
Gm38014	2
Pter	9
Rsu1	1
Gm38156	2
Gm37780	3
Gm13270	2
Trdmt1	3
Vim	6
St8sia6	10
Hacd1	0
Stamos	2
Stam	0
Tmem236	7
Mrc1	6
Slc39a12	2
Cacnb2	9
Gm13268	9
2900092N22Rik	9
Gm10848	2
Gm37006	7
Gm37437	2
Gm37891	2
Nsun6	0
Gm36930	2
Arl5b	4
Gm38257	3
Plxdc2	4
Nebl	12
A930004D18Rik	2
Mllt10	1
Dnajc1	1
Gm13349	2
Commd3	1
Bmi1	0
Pip4k2a	1
Armc3	3
Msrb2	0
Otud1	0
Etl4	10
Arhgap21	0
Enkur	2
Thnsl1	3
Gm13378	2
Gm13341	3
Gm13340	0
Apbb1ip	6
Pdss1	3
Abi1	1
Acbd5	1
Mastl	16
Yme1l1	1
Spopl	4
Gm13331	5
Hnmt	0
Il1f9	5
Il1rn	6
Psd4	4
Cacna1b	2
Ehmt1	4
Gm37139	5
Arrdc1	15
Zmynd19	0
Dph7	3
Mrpl41	1
Pnpla7	15
Nsmf	0
Entpd8	7
Nrarp	10
Tor4a	3
Nelfb	4
Tubb4b	1
Rnf208	2
Ndor1	3
Tmem203	0
Tprn	3
