gene	cluster
scxa	1
oc90	1
zgc:64022	1
snx10a	1
snap23.2	1
ecscr	1
cyp2ad2	1
ecm1b	1
arhgef18a	1
ENSDARG00000098810	1
ENSDARG00000043442	1
si:dkey-188i13.7	1
si:ch211-226l4.6	1
arhgef5	1
prkacba	1
cdab	1
foxj1a	1
stxbp6l	1
runx3	1
pon1	1
necab1	1
msi2a	1
rab3db	1
col14a1a	1
CR388143.2	1
CU467646.6	1
si:dkey-28n18.9	1
anxa6	1
ppp1r1b	1
ninj2	1
dhrs13l1	1
vgll4l	1
chd	1
si:dkey-125i10.3	1
slc25a21	1
six2b	1
zgc:136410	1
mmp23bb	1
si:ch73-335l21.2	1
kcnd3	1
r3hdml	1
inhbab	1
slco2b1	1
zgc:173552.5	1
ucp1	2
si:ch211-76l23.4	2
rhbg	2
krt97	2
agr1	2
CU693494.2	2
ccka	2
lye	2
CABZ01059413.1	2
ENSDARG00000104722	2
angptl6	2
laptm5	2
si:ch211-207n23.2	2
anxa1c	2
ccl35.1	2
mb	2
mfap4	2
anxa1b	2
s100v1	2
spi1b	2
ctsl.1	2
si:ch211-14k19.8	2
pycard	2
podxl	2
si:cabz01007794.1	2
tnni1b	2
stoml3b	2
caspb	2
tectb	2
si:ch211-157c3.4	2
coro1a	2
si:dkey-200l5.4	2
zgc:86896	2
pvalb6	2
CU326347.1	2
si:ch73-204p21.2	2
gstp2	2
ch25hl1.1	2
akap12a	2
spi1a	2
si:dkey-31e10.5	2
zgc:111983	2
cxcl8b.1	2
lcp1	2
nnr	2
gcga	2
kera	2
ecrg4b	2
havcr1	2
ENSDARG00000041339	2
spaca4l	2
si:ch211-134a4.1	2
capn9	2
ucp3	2
pcp4b	2
acy3.2	2
scel	2
mmel1	2
si:dkeyp-51b9.3	2
si:ch1073-340i21.3	2
hbbe2	2
CR936442.2	2
slc7a7	2
si:dkey-19b23.12	2
hbbe1.2	2
ENSDARG00000068233	2
ENSDARG00000078362	2
KRT73	2
cxcr3.2	2
zgc:154054	2
ponzr3	2
xirp1	2
gsnb	2
ctss2.2	2
calml4a	2
stx11b.1	2
marco	2
gdpd2	2
cxcl20	2
ccr9a	2
cxl34b.11	2
slc4a4b	2
fndc4b	2
mpeg1.1	2
slc4a1a	2
si:ch211-38m6.6	2
zmp:0000001081	2
mrc1a	2
stc1l	2
zgc:158404	2
il1b	2
nrros	2
zgc:101810	2
SYNPR	2
zgc:110286	2
mmp25b	2
tbx16	2
anxa3a	2
cldn1	2
pkp1b	2
si:ch211-106n13.3	2
eevs	2
aanat1	2
clec14a	2
si:ch211-125o16.4	2
FO393393.1	2
si:ch211-125e6.5	2
hoxc10a	2
CU855484.1	2
tmem54a	2
nt5c2l1	2
si:dkey-148a17.6	2
CABZ01027551.1	2
si:ch211-71m22.1	2
lmod1b	2
zgc:173443	2
lect2l	2
BX901923.2	2
abca12	2
ANPEP	2
hsd17b3	2
calca	2
si:dkey-7c18.24	2
il12a	2
tnfrsf18	2
slc20a1a	2
slc43a2b	2
cd226	2
hoxb10a	2
zgc:158868	2
BX649485.4	2
CR762420.1	2
si:ch211-145b13.6	2
hyal4	2
si:ch211-251f6.6	2
rgs13	2
ENSDARG00000043482	2
si:ch1073-80i24.3	2
ptgis	2
hmha1b	2
lgals3bpb	2
si:ch73-22a13.3	2
hcls1	2
gpr182	2
NCKAP1L	2
grap2a	2
prr15la	2
neflb	2
si:ch73-343l4.2	2
lyve1a	2
ponzr6	2
cmah	2
adgrg3	2
epgn	2
si:ch73-350k19.1	2
hdr	2
si:ch211-132b12.8	2
ENSDARG00000038979	2
AL935186.1	2
si:ch73-248e21.5	2
nkx3-1	2
si:ch211-281k19.2	2
si:ch211-196h16.12	2
si:ch211-202f3.3	2
wasb	2
col7a1	2
lcn15	2
caspa	2
rbp7b	2
si:dkey-73p2.1	2
zgc:113516	2
kcnip3b	2
CABZ01027551.2	2
pdk3b	2
si:dkey-221j11.3	2
arsia	2
CABZ01073834.1	2
cnih3	2
cyr61l1	2
si:ch211-188p14.4	2
rx3	2
serpinb1l1	2
si:dkey-73p2.3	2
ENSDARG00000034211	2
ucmaa	2
clec3ba	2
zgc:158446	2
psma6l	2
zgc:101100	2
fut9d	2
ptprc	2
CABZ01064941.1	2
si:dkeyp-97a10.2	2
crp1	2
heyl	2
zgc:65851	2
chad	2
cx32.2	2
si:ch1073-204b8.1	2
si:ch211-183d5.2	2
si:ch211-51a6.2	2
mos	2
si:ch211-264f5.2	2
ntn5	2
si:ch73-89b15.3	2
evx2	2
ngb	2
ENSDARG00000070746	2
si:dkeyp-86h10.3	2
si:ch211-214p13.3	2
fbxl22	2
zmp:0000000991	2
wnt16	2
zgc:136870	2
mmp9	2
trpc4b	2
CR848841.2	2
tnfrsf9a	2
pitx1	2
cdh5	2
myct1a	2
BX927396.1	2
cxcl8b.3	2
btr31	2
stc1	2
scgn	2
gucy1a3	2
CR293509.5	2
tprg1	2
lama5	2
si:dkey-56f14.4	2
zgc:174855.1	2
tnnt2b	2
penkb	2
ptprt	2
CDHR1 (1 of many)	2
ntn4	2
fhl2b	2
si:dkey-53k12.2	2
mhc2dab	2
neurod1	3
calb2a	3
elovl7b	3
dbh	3
nmu	3
snap25b	3
calb2b	3
slc6a1b	3
neurog1	3
nkx1.2lb	3
ddc	3
en1b	3
otpb	3
si:ch73-21g5.7	3
gsx1	3
tph1b	3
stmn4	3
afp4.1	3
zgc:153845	3
myl4	3
si:ch211-103n10.5	3
tal1	3
gsx2	3
prdm12b	3
slc32a1	3
gata3	3
en2b	3
pax8	3
gad1b	3
cahz	3
hspb11	3
pcp4a	3
sox3	3
c2cd4a	3
hoxa9a	3
tagln3b	3
barhl2	3
cbln1	3
OTOP1	3
cbln2b	3
si:ch211-152c8.5	3
bhlhe22	3
isl2b	3
col9a1b	3
neurod4	3
hbae1.3	3
hbbe1.1	3
tubb2	3
insl5a	3
synpr	3
si:dkey-25o16.2	3
alas2	3
dkk1b	3
khdrbs2	3
slc18a3a	3
pax2a	3
gfap	3
nos1	3
dmbx1a	3
zic2b	3
vamp1	3
ENSDARG00000099464	3
map1ab	3
si:dkey-234i14.9	3
si:ch211-202h22.9	3
chga	3
masp1	3
pyya	3
samsn1a	3
nkx6.1	3
shox2	3
ncf1	3
ndrg1b	3
gng13b	3
nr0b2a	3
arhgdig	3
olfm2a	3
gad2	3
tnfaip8l2b	3
si:dkey-1h6.8	3
rergla	3
atp1a3b	3
