gene	cluster
gem	2
tppp3	2
krt94	2
sfrp2	2
crabp2a	2
timp2b	2
cyp26b1	2
and2	2
ifitm1	2
rgs5a	2
msx1b	2
sostdc1a	2
si:dkey-85k7.7	2
col1a2	2
dlx3b	2
barx1	2
lepa	2
gsc	2
thbs4b	2
si:ch73-86n18.1	2
si:dkey-12l12.1	2
fstl3	2
f3b	2
hhla2a.1	2
cxcl14	2
fbxo32	2
zgc:174904	2
cfd	2
clu	2
dusp5	2
dlx4b	2
emx2	2
sfrp5	2
dlx1a	2
inhbaa	2
tfpia	2
foxf2a	2
hsd11b2	2
hoxb6a	2
tnmd	2
klf2a	2
htra1b	2
pcolcea	2
pbx3b	2
aspn	2
dlx2a	2
rbp4	2
agtr2	2
wfdc2	2
hpgd	2
osr1	2
cebpa	2
tgfbi	2
foxq1a	2
twist1a	2
foxl1	2
xirp2a	2
si:busm1-57f23.1	2
bdnf	2
ackr3b	2
egfl7	2
itgb1b.2	2
lbx2	2
ecrg4a	2
foxd1	2
zgc:195173	2
ponzr1	2
plpp3	2
fstl1a	2
glipr2l	2
foxp4	2
abi3bpb	2
col12a1b	2
dcn	2
cd82a	2
isl2a	2
cyp1c1	2
pdgfrl	2
si:dkey-23i12.7	2
mxra8a	2
ramp2	2
spon1b	2
meox1	2
hey1	2
ntn1a	2
c6.1	2
lhx8a	2
igfbp5b	2
twist3	2
tnfaip6	2
mab21l2	2
rbp5	2
pax9	2
lmo4b	2
cx43	2
gpm6aa	2
emid1	2
aoc2	2
si:dkey-57k2.6	2
dusp2	2
rasl11b	2
twist2	2
tnc	2
irx1b	2
rspo2	2
gadd45bb	2
pdlim1	2
steap4	2
si:dkey-16l2.20	2
ntd5	2
tmeff2a	2
sema3fa	2
prrx1b	2
hey2	2
ngfra	2
angptl5	2
cd248a	2
col14a1a	2
igf2b	2
rspo3	2
p4ha1b	2
dpt	2
meis3	2
lhx6	2
snai2	2
efna2a	2
sfrp1a	2
endouc	2
cnn2	2
lpl	2
bmp16	2
rerglb	2
scxa	2
mkxa	2
kazald3	2
mvp	2
rnd3a	2
slc43a3b	2
ccdc3b	2
vstm4a	2
fgf10a	2
ism1	2
tuba8l2	2
ctsk	2
nfil3	2
BX088707.3	2
mxra8b	2
bmp4	2
col4a6	2
CABZ01074130.1	2
and1	2
hgd	2
si:ch211-106h4.12	2
ttc36	2
vcanb	2
si:ch211-76l23.4	2
c1qtnf5	2
loxa	2
col10a1a	2
fn1a	2
fgfr2	2
si:ch211-14k19.8	2
lsp1	2
fosb	2
shox2	2
zcchc24	2
fah	2
slc16a10	2
fgfrl1a	2
gulp1a	2
tpm4b	2
tgm2b	2
sgcd	2
CABZ01092746.1	2
acy3.2	2
zgc:158463	2
osr2	2
fhl2a	2
tnfsf10	2
il13ra2	2
sema5a	2
vasnb	2
si:ch211-178n15.1	2
serpinf1	2
il11ra	2
cbr1l	2
tm4sf4	3
si:dkeyp-73b11.8	3
fabp1b.1	3
zgc:158846	3
mat1a	3
stoml3b	3
aqp1a.1	3
si:ch211-137i24.10	3
tnfb	3
lgals2b	3
tfec	3
cldnc	3
nr5a2	3
gpnmb	3
wu:fb59d01	3
slco1d1	3
apoc2	3
cpa5	3
agxtb	3
il34	3
si:ch211-256m1.8	3
si:ch211-103n10.5	3
vil1	3
irg1l	3
s100a10a	3
aqp12	3
krt92	3
rbp2a	3
agxta	3
plac8.1	3
ctrl	3
cdh17	3
zgc:153968	3
myo6b	3
trh	3
cox8b	3
cyp3c3	3
rltgr	3
bin2a	3
muc13b	3
ctrb1	3
rbfox1l	3
cldn15a	3
ANPEP	3
tmem176l.2	3
gpx3	3
cpa4	3
cxcl20	3
cxcr4b	3
slc4a4a	3
zgc:77748	3
glsl	3
coro1a	3
ca10a	3
zgc:113307	3
BX908782.3	3
calml4a	3
zgc:158404	3
cldnh	3
fgb	3
grhprb	3
cldn15la	3
zic1	3
ucp3	3
si:ch211-163l21.8	3
fbxl22	3
gpx1b	3
si:ch73-141c7.1	3
nipsnap3a	3
zgc:64106	3
pkp1b	3
pitx3	3
ezra	3
ackr4b	3
cx32.3	3
csf1b	3
gfi1aa	3
anks4b	3
pvalb3	3
srd5a2a	3
cmah	3
arrdc1a	3
ascl1b.1	3
shha	3
shisa9a	3
atp2a1l	3
epas1a	3
sgk2a	3
cox5b2	3
cel.1	3
pla2g1b	3
BX571707.1	3
agr2	3
si:ch211-263k4.2	3
cel.2	3
c6ast3	3
ela3l	3
abcc4	3
si:dkey-14d8.7	3
cpb1	3
si:dkey-222f2.1	3
ela2l	3
ela2	3
fcer1gl	3
apoa4b.1	3
slc22a16	3
zgc:136461	3
zgc:112160	3
prss59.2	3
zgc:92590	3
serpinf2b	3
si:ch211-240l19.6	3
fbp1b	3
prss59.1	3
kng1	3
cpa1	3
fgg	3
ambp	3
pdia2	3
apom	3
vtnb	3
si:ch73-281k2.5	3
MFAP4 (1 of many).3	3
si:ch211-240l19.5	3
pygl	3
amy2a	3
cfhl4	3
BX908782.2	3
hpda	3
cpa2	3
krt97	3
sycn.2	3
f2	3
syt7b	3
atp1a1a.4	3
fabp6	3
fga	3
myhz1.1	3
npdc1a	3
angptl6	3
